id,freq,auc_tactical,n_t,auc_strategic,n_s
vix,D,0.604,4604,0.64,4604
hy_ig,D,0.352,296,0.483,296
eq_cr_corr,D,0.472,4223,0.489,4223
yield_curve,D,0.445,4602,0.454,4602
move,D,0.617,4600,0.655,4600
real_rates,D,0.503,4601,0.504,4601
copper_gold,D,0.509,4603,0.439,4603
bkx_spx,D,0.538,4604,0.505,4604
usd,D,0.475,4618,0.491,4618
skew,D,0.476,4603,0.461,4603
anfci,W,0.591,4604,0.548,4604
stlfsi,W,0.555,4604,0.583,4604
cpff,W,0.631,4607,0.544,4607
loan_syn,W,0.544,679,0.274,679
bank_credit,W,0.509,4347,0.497,4347
jobless,W,0.588,4598,0.53,4598
cmdi,W,0.578,4604,0.514,4604
term_premium,W,0.595,5001,0.612,5001
cape,M,0.668,1065,0.892,1065
ism,M,0.344,1065,0.28,1065
jolts_quits,M,0.575,4569,0.483,4569
sloos_ci,Q,0.513,4593,0.446,4593
sloos_cre,Q,0.51,4593,0.579,4593
bank_unreal,Q,0.65,2262,0.58,2262
credit_3y,Q,0.505,3898,0.457,3898
